Localidade;Ano;IDM Infraestrutura;Cobertura da rede de água tratada;Cobertura da rede de energia elétrica;Cobertura da rede de esgoto;Cobertura da rede de telefonia fixa e internet
Nova Veneza;2014;2,945;4,95;3,45;0;3,38
Nova Veneza;2016;3,025;4,8;3,68;0;3,62
Nova Veneza;2018;2,9975;4,87;4,4;0;2,72
Novo Brasil;2012;3,4625;7,21;3,81;0;2,83
Novo Brasil;2014;3,5375;7,75;4,27;0;2,13
Novo Brasil;2016;3,5875;7,64;4,58;0;2,13
Novo Brasil;2018;3,69;7,85;4,61;0;2,3
Novo Gama;2012;3,0125;3,79;3,24;1,33;3,69
Novo Gama;2014;3,155;4,35;3,5;1,52;3,25
Novo Gama;2016;3,18;4,2;3,59;1,37;3,56
Novo Gama;2018;2,3225;4,05;0;1,23;4,01
Novo Planalto;2012;1,9475;4,77;2,54;0;0,48
Novo Planalto;2014;2,07;4,9;2,63;0;0,75
Novo Planalto;2016;2,12;4,63;2,73;0;1,12
Novo Planalto;2018;2,185;4,56;3,14;0;1,04
Orizona;2012;2,1525;3,79;2,63;0;2,19
Orizona;2014;2,39;4,28;2,88;0;2,4
Orizona;2016;2,445;4,26;3,16;0;2,36
Orizona;2018;2,8325;4,49;3,18;0;3,66
Ouro Verde de Goiás;2012;2,0775;4,78;2,32;0;1,21
Ouro Verde de Goiás;2014;2,265;4,94;2,53;0;1,59
Ouro Verde de Goiás;2016;2,285;5,18;2,75;0;1,21
Ouro Verde de Goiás;2018;2,4425;5,2;3,55;0;1,02
Ouvidor;2012;3,6;7,11;4,27;0;3,02
Ouvidor;2014;3,76;7,43;4,69;0;2,92
Ouvidor;2016;3,8575;7,41;5,03;0;2,99
Ouvidor;2018;4,3525;7,56;6,28;0;3,57
Padre Bernardo;2012;2,2925;1,97;3,33;2,49;1,38
Padre Bernardo;2014;2,615;2,13;3,79;2,98;1,56
Padre Bernardo;2016;2,7375;2,05;3,98;3,33;1,59
Padre Bernardo;2018;1,9175;2,03;1,43;3,35;0,86
Palestina de Goiás;2012;1,9775;4,61;2,6;0;0,7
Palestina de Goiás;2014;1,935;4,58;2,56;0;0,6
Palestina de Goiás;2016;1,835;4,21;2,57;0;0,56
Palestina de Goiás;2018;1,8625;4,19;2,97;0;0,29
Palmeiras de Goiás;2012;4,325;4,39;3,3;7,15;2,46
Palmeiras de Goiás;2014;4,6625;4,96;3,62;7,19;2,88
Palmeiras de Goiás;2016;4,94;5,36;3,88;6,95;3,57
Palmeiras de Goiás;2018;5,59;6,18;5,11;7,85;3,22
Palmelo;2012;4,03;8,38;4,31;0;3,43
Palmelo;2014;4,0525;8,57;4,45;0;3,19
Palmelo;2016;3,835;8,23;4,63;0;2,48
Palmelo;2018;3,88;8,17;5,4;0;1,95
Palminópolis;2012;3,2675;6,88;3,73;0;2,46
Palminópolis;2014;3,33;6,8;3,73;0;2,79
Palminópolis;2016;3,3375;6,57;4,03;0;2,75
Palminópolis;2018;3,82;6,48;4,42;0;4,38
Panamá;2012;2,695;5,02;3,41;0,03;2,32
Panamá;2014;2,6975;4,78;3,74;0,03;2,24
Panamá;2016;2,56;4,3;3,82;0,03;2,09
Panamá;2018;2,625;4,09;4,51;0,02;1,88
Paranaiguara;2012;5,9175;6,11;4,13;8,96;4,47
Paranaiguara;2014;6,0925;5,82;4,27;8,54;5,74
Paranaiguara;2016;5,865;5,23;4,35;7,39;6,49
Paranaiguara;2018;5,7;4,98;4,75;6,64;6,43
Paraúna;2012;4,69;5,88;3,06;6,8;3,02
Paraúna;2014;5,2775;6,43;3,48;8,53;2,67
Paraúna;2016;5,09;6,38;3,71;8,15;2,12
Paraúna;2018;5,1925;6,53;4,33;7,76;2,15
Perolândia;2012;2,2975;4,69;2,32;0;2,18
Perolândia;2014;2,62;4,81;2,48;0;3,19
Perolândia;2016;2,5025;4,69;2,58;0,01;2,73
Perolândia;2018;2,5625;4,92;3,37;0;1,96
Petrolina de Goiás;2012;1,895;4,04;2,1;0;1,44
Petrolina de Goiás;2014;1,9525;4,07;2,13;0;1,61
Petrolina de Goiás;2016;1,995;3,82;2,19;0;1,97
Petrolina de Goiás;2018;2,325;4,33;2,98;0;1,99
Pilar de Goiás;2012;1,3475;2,37;1,39;0;1,63
Pilar de Goiás;2014;1,8625;2,85;1,7;0;2,9
Pilar de Goiás;2016;1,7475;3,02;1,89;0;2,08
Pilar de Goiás;2018;1,7175;3,21;2,04;0;1,62
Piracanjuba;2012;4,97;5,9;3,53;6,49;3,96
Piracanjuba;2014;5,29;6,23;3,69;7,71;3,53
Piracanjuba;2016;5,2125;6,1;3,9;7,38;3,47
Piracanjuba;2018;5,135;6,23;4,17;7,06;3,08
Piranhas;2012;3,51;7,21;3,85;0;2,98
Piranhas;2014;3,56;7,37;4,02;0;2,85
Piranhas;2016;3,575;7,19;4,29;0;2,82
Piranhas;2018;4,3075;7,26;4,97;0;5
Pirenópolis;2012;3,1475;5,94;3,57;0;3,08
Pirenópolis;2014;3,37;6,15;3,87;0;3,46
Pirenópolis;2016;3,445;5,84;4,08;0;3,86
Pirenópolis;2018;3,575;5,93;3,84;0;4,53
Pires do Rio;2012;5,13;8,09;4,14;2,86;5,43
Pires do Rio;2014;5,3125;8,29;4,37;3,22;5,37
Pires do Rio;2016;5,3775;7,82;4,6;3,23;5,86
Pires do Rio;2018;5,67;7,66;5,15;3;6,87
Planaltina;2012;3,325;5,19;3,49;1,94;2,68
Planaltina;2014;3,855;6,27;4,12;2,19;2,84
Planaltina;2016;4,2025;6,57;4,49;2,51;3,24
Planaltina;2018;5,015;7,07;5,22;3,87;3,9
Pontalina;2012;4,4925;6,31;3,68;4,64;3,34
Pontalina;2014;5,21;6,65;3,82;7,43;2,94
Pontalina;2016;5,3475;6,6;4,15;8;2,64
Pontalina;2018;5,23;6,63;4,77;7,45;2,07
Porangatu;2012;3,2275;5,93;3,45;0;3,53
Porangatu;2014;3,315;6,12;3,58;0;3,56
Porangatu;2016;3,3575;5,92;3,77;0;3,74
