Localidade;Ano;Taxa de Reprovação
Iaciara;2016;4,2
Iaciara;2017;1
Iaciara;2018;4,3
Inaciolândia;2013;16
Inaciolândia;2014;19,8
Inaciolândia;2015;17
Inaciolândia;2016;7
Inaciolândia;2017;4,1
Inaciolândia;2018;3,4
Indiara;2013;7,8
Indiara;2014;5,3
Indiara;2015;4,8
Indiara;2016;5,9
Indiara;2017;4,6
Indiara;2018;4,1
Inhumas;2013;7,6
Inhumas;2014;9,1
Inhumas;2015;8
Inhumas;2016;5,6
Inhumas;2017;4
Inhumas;2018;3,6
Ipameri;2013;14,4
Ipameri;2014;11,2
Ipameri;2015;7,8
Ipameri;2016;10,8
Ipameri;2017;5,9
Ipameri;2018;5,1
Ipiranga de Goiás;2013;1,7
Ipiranga de Goiás;2014;0,9
Ipiranga de Goiás;2015;2,6
Ipiranga de Goiás;2016;0,9
Ipiranga de Goiás;2017;1,3
Ipiranga de Goiás;2018;1,4
Iporá;2013;10,6
Iporá;2014;13,9
Iporá;2015;10,2
Iporá;2016;8,1
Iporá;2017;9
Iporá;2018;5,8
Israelândia;2013;10,1
Israelândia;2014;11,9
Israelândia;2015;4,4
Israelândia;2016;11,6
Israelândia;2017;6,8
Israelândia;2018;14,1
Itaberaí;2013;4,7
Itaberaí;2014;4,2
Itaberaí;2015;3,2
Itaberaí;2016;5,9
Itaberaí;2017;5,8
Itaberaí;2018;5,4
Itaguari;2013;2,4
Itaguari;2014;1
Itaguari;2015;1,5
Itaguari;2016;4,1
Itaguari;2017;1,1
