Localidade;Ano;IDM Trabalho;Empregos formais;Nível de escolaridade dos trabalhadores;Remuneração mediana;Variação do numero de empregos formais
Itapaci;2014;2,245;1,36;0,44;3,15;4,03
Itapaci;2016;2,695;1,44;5,81;1,64;1,89
Itapaci;2018;3,095;1,54;5,59;1,74;3,51
Itapirapuã;2012;2,0275;1,34;2,03;1,46;3,28
Itapirapuã;2014;2,1225;1,54;0,44;1,56;4,95
Itapirapuã;2016;2,8325;2,18;5,78;0,96;2,41
Itapirapuã;2018;2,9625;2,63;4,57;1,12;3,53
Itapuranga;2012;2,26;1,01;3,14;1,56;3,33
Itapuranga;2014;2,055;1,04;0,62;1,71;4,85
Itapuranga;2016;3,32;1,4;8,32;1,1;2,46
Itapuranga;2018;3,62;1,62;8,65;0,63;3,58
Itarumã;2012;2,2525;1,68;1,44;2,85;3,04
Itarumã;2014;2,0575;1,42;0,28;2,34;4,19
Itarumã;2016;2,535;1,95;3,18;2,4;2,61
Itarumã;2018;2,1475;2,12;0,57;2,39;3,51
Itauçu;2012;1,9775;1,15;2,3;1,17;3,29
Itauçu;2014;2,3625;1,36;0,43;2,18;5,48
Itauçu;2016;2,125;1,07;5,25;1,2;0,98
Itauçu;2018;2,8125;1,46;4,82;1,03;3,94
Itumbiara;2012;2,975;3,02;2,52;2,61;3,75
Itumbiara;2014;3,04;3,21;0,48;3,37;5,1
Itumbiara;2016;3,915;3,87;7,13;2,55;2,11
Itumbiara;2018;3,835;3,85;5,64;2,52;3,33
Ivolândia;2012;2,445;1,24;2,59;1,81;4,14
Ivolândia;2014;2,9825;1,86;0,45;3,21;6,41
Ivolândia;2016;2,9575;1,94;6,56;1,74;1,59
Ivolândia;2018;3,13;2;4,95;2,33;3,24
Jandaia;2012;2,9425;3,02;1,82;4,86;2,07
Jandaia;2014;3,295;2,85;0,36;5,55;4,42
Jandaia;2016;3,49;3,54;4,71;3,56;2,15
Jandaia;2018;3,4475;3,84;2,86;3,6;3,49
Jaraguá;2012;1,9475;1,41;1,42;1,42;3,54
Jaraguá;2014;2,365;1,54;0,33;2,32;5,27
Jaraguá;2016;2,805;1,68;6,03;1,58;1,93
Jaraguá;2018;2,3675;1,47;3,22;1,75;3,03
Jataí;2012;2,745;2,36;2,22;3,03;3,37
Jataí;2014;3,01;2,43;0,44;4,19;4,98
Jataí;2016;3,445;2,96;5,71;2,93;2,18
Jataí;2018;3,24;2,94;3,66;3,03;3,33
Jaupaci;2012;2,3425;1,11;2,38;1,81;4,07
Jaupaci;2014;2,0725;1,17;0,49;1,58;5,05
Jaupaci;2016;2,7875;1,26;6,57;1,57;1,75
Jaupaci;2018;3,0075;1,67;5,49;0,96;3,91
Jesúpolis;2012;2,09;0,97;2,66;1,67;3,06
Jesúpolis;2014;2,6;1,42;0,6;1,97;6,41
Jesúpolis;2016;2,775;1,28;7,53;0,94;1,35
Jesúpolis;2018;2,595;1,16;5,95;0,26;3,01
Joviânia;2012;1,9975;1,11;2,39;1,86;2,63
Joviânia;2014;2,4275;1,22;0,44;2,92;5,13
Joviânia;2016;2,82;1,39;5,74;2,12;2,03
Joviânia;2018;3,025;1,35;4,75;2,82;3,18
Jussara;2012;2,4675;1,64;2,73;1,94;3,56
Jussara;2014;2,2775;1,66;0,52;2,18;4,75
Jussara;2016;3,305;2,15;7,21;1,57;2,29
Jussara;2018;3,5425;2,37;6,54;1,78;3,48
Lagoa Santa;2012;2,43;1,86;2,58;2,54;2,74
Lagoa Santa;2014;2,69;2,2;0,45;2,34;5,77
Lagoa Santa;2016;1,545;1,14;3,45;1,59;0
Lagoa Santa;2018;4,1;2,62;5,4;2,72;5,66
Leopoldo de Bulhões;2012;2,11;1,61;1,03;1,7;4,1
Leopoldo de Bulhões;2014;2,19;1,59;0,2;2,22;4,75
Leopoldo de Bulhões;2016;2,725;2,38;3,64;2,01;2,87
Leopoldo de Bulhões;2018;2,5675;2,84;1,52;2,12;3,79
Luziânia;2012;2,3425;1,31;2,59;2,52;2,95
Luziânia;2014;2,3525;1,26;0,55;2,84;4,76
Luziânia;2016;3,2625;1,47;7,45;1,93;2,2
Luziânia;2018;3,3775;1,33;7,09;1,97;3,12
Mairipotaba;2012;2,07;1,26;2,24;1,53;3,25
