Localidade;Ano;IDHM – Geral;IDHM - Educação;IDHM - Longevidade;IDHM - Renda
Goiânia;2000;0,715;0,591;0,796;0,776
Goiânia;2010;0,799;0,739;0,838;0,824
Goianira;1991;0,416;0,2;0,662;0,542
Goianira;2000;0,566;0,401;0,738;0,614
Goianira;2010;0,694;0,596;0,831;0,674
Goiás;1991;0,441;0,229;0,646;0,581
Goiás;2000;0,563;0,376;0,759;0,625
Goiás;2010;0,709;0,621;0,805;0,713
Goiatuba;1991;0,49;0,252;0,723;0,644
Goiatuba;2000;0,628;0,43;0,809;0,711
Goiatuba;2010;0,725;0,627;0,825;0,737
Gouvelândia;1991;0,38;0,139;0,682;0,579
Gouvelândia;2000;0,545;0,336;0,788;0,61
Gouvelândia;2010;0,674;0,559;0,806;0,68
Guapó;1991;0,454;0,244;0,658;0,581
Guapó;2000;0,538;0,341;0,742;0,617
Guapó;2010;0,697;0,58;0,826;0,708
Guaraíta;1991;0,39;0,19;0,621;0,501
Guaraíta;2000;0,523;0,383;0,697;0,536
Guaraíta;2010;0,687;0,625;0,816;0,637
Guarani de Goiás;1991;0,275;0,08;0,615;0,424
Guarani de Goiás;2000;0,448;0,259;0,707;0,49
Guarani de Goiás;2010;0,637;0,557;0,814;0,569
Guarinos;1991;0,316;0,102;0,663;0,467
Guarinos;2000;0,505;0,293;0,76;0,579
Guarinos;2010;0,652;0,563;0,815;0,604
Heitoraí;1991;0,439;0,241;0,665;0,529
Heitoraí;2000;0,588;0,433;0,752;0,624
Heitoraí;2010;0,694;0,62;0,814;0,661
Hidrolândia;1991;0,427;0,216;0,676;0,534
Hidrolândia;2000;0,566;0,374;0,763;0,636
Hidrolândia;2010;0,706;0,603;0,827;0,707
Hidrolina;1991;0,449;0,262;0,653;0,528
Hidrolina;2000;0,545;0,322;0,752;0,669
Hidrolina;2010;0,677;0,577;0,824;0,652
Iaciara;1991;0,374;0,152;0,661;0,519
Iaciara;2000;0,496;0,294;0,748;0,556
Iaciara;2010;0,644;0,527;0,826;0,615
Inaciolândia;1991;0,39;0,157;0,683;0,555
Inaciolândia;2000;0,542;0,349;0,763;0,598
Inaciolândia;2010;0,692;0,591;0,822;0,683
Indiara;1991;0,418;0,188;0,653;0,597
