Localidade;Ano;AnosIniciaisRedeMunicipal;AnosIniciaisRedeEstadual;AnosIniciaisRedeFederal;AnosIniciaisRedePública;AnosFinaisRedeMunicipal;AnosFinaisRedeEstadual;AnosFinaisRedeFederal;AnosFinaisRedePública
Mairipotaba;2017;6;    ;    ;6;    ;4,9;    ;4,9
Mambaí;2005;2,4;3,6;;2,8;;3,9;;3,9
Mambaí;2007;3,6;4,1;;3,8;;3,7;;3,7
Mambaí;2009;3,8;3,5;;3,8;;3,6;;3,6
Mambaí;2011;4,7;4,3;;4,6;;3,9;;3,9
Mambaí;2013;4,3;5,4;;4,4;;4;;4
Mambaí;2015;4,6;;;4,6;;5;;5
Mambaí;2017;5,1;    ;    ;5,1;    ;4,9;    ;4,9
Mara Rosa;2005;3,4;4,1;;3,8;;3,6;;3,6
Mara Rosa;2007;4,4;5,1;;4,8;;3,9;;3,8
Mara Rosa;2009;4,5;6;;5,3;;3,5;;3,4
Mara Rosa;2011;5,4;5,9;;5,6;;4,1;;4,1
Mara Rosa;2013;6;6,4;;6,2;;4,5;;4,5
Mara Rosa;2015;5,9;6,3;;6;;5,5;;5,5
Mara Rosa;2017;5,8;6;    ;5,8;    ;5,7;    ;5,6
Marzagão;2005;;4,7;;4,7;;4,3;;4,3
Marzagão;2007;;5,2;;5,2;;3,7;;3,7
Marzagão;2009;;5;;5;;3,7;;3,7
Marzagão;2011;;5,1;;5,1;;3,8;;3,8
Marzagão;2013;;5,9;;5,9;;4,8;;4,8
Marzagão;2015;;5,9;;5,8;;4,6;;4,6
Marzagão;2017;6,1;6,8;    ;6,5;    ;6,1;    ;6,1
Matrinchã;2005;3,5;;;3,7;;2,9;;2,9
Matrinchã;2007;4,6;;;4,6;;3,4;;3,4
Matrinchã;2009;4;;;4;;3,3;;3,5
Matrinchã;2011;3,5;;;3,5;;4,1;;4,3
Matrinchã;2013;5,1;4,7;;5,1;;4,6;;4,6
Matrinchã;2015;4,9;;;4,9;;5;;5
Matrinchã;2017;5,2;    ;    ;5,2;    ;5,1;    ;5,1
Maurilândia;2005;3,4;4,2;;3,5;;3,6;;3,6
Maurilândia;2007;3,5;4,2;;3,6;;3,2;;3,2
Maurilândia;2009;4,1;3,3;;4;;3,3;;3,3
Maurilândia;2011;4,7;;;4,7;;3,9;;3,9
Maurilândia;2013;5,3;;;5,3;;4,5;;4,5
Maurilândia;2015;5,5;;;5,5;;4,2;;4,2
Maurilândia;2017;6,3;    ;    ;6,3;    ;5,1;    ;5,1
Mimoso de Goiás;2005;;3,4;;3,2;;3,7;;3,7
Mimoso de Goiás;2007;3,9;;;3,9;;;;
Mimoso de Goiás;2009;4,2;;;4,2;;3,3;;3,3
Mimoso de Goiás;2011;4,3;;;4,3;;2,8;;2,8
Mimoso de Goiás;2013;4,5;;;4,5;;4,3;;4,3
Mimoso de Goiás;2015;4,7;;;4,7;;4,3;;4,3
