Localidade;Ano;IDM Educacao;Adequacao dos professores do ensino infantil;Adequacao dos professores do ensino fundamental;Adequacao dos professores do ensino médio;Atendimento educacional da população de 4 a 5 anos;Atendimento educacional da população de 6 a 14 anos;Atendimento educacional da população de 15 a 17 anos;IDEB5ano;IDEB9ano;Infraestrutura dos predios das escolas publicas urbanas
Aragoiânia;2014;4,54666666666667;;;;3,51;8,64;6,08;4,5;3,7;0,85
Aragoiânia;2016;5,13222222222222;3,08;4,84;4,47;4,68;10;10;5,3;3,7;0,12
Aragoiânia;2018;5,66333333333333;4,62;4,7;5,64;10;10;5,55;5,3;4,2;0,96
Araguapaz;2012;4,48666666666667;;;;3,64;8,1;4,9;4,4;3,7;2,18
Araguapaz;2014;4,19833333333333;;;;0,78;8,19;6,07;5;3,7;1,45
Araguapaz;2016;4,02888888888889;3,08;2,42;3,36;4,31;6,64;5,16;5,2;4,2;1,89
Araguapaz;2018;3,89222222222222;3,64;2,28;2,26;5,99;7,71;0,53;5,7;4,8;2,12
Arenópolis;2012;5,495;;;;9,43;10;5,76;0;4,1;3,68
Arenópolis;2014;5,60333333333333;;;;5,34;8,81;7,89;4,3;4,1;3,18
Arenópolis;2016;5,59555555555556;1,43;3,81;5,3;10;10;5,35;5,4;5;4,07
Arenópolis;2018;5,66111111111111;4;2,83;4,95;10;10;4,09;5,8;5,4;3,88
Aruanã;2012;4,66;;;;4,54;7,81;4,25;4,6;3,5;3,26
Aruanã;2014;4,43333333333333;;;;5,48;3,39;5,38;5,5;3,9;2,95
Aruanã;2016;5,42222222222222;6,67;2,6;3,02;6,39;10;4,29;6,7;5,3;3,83
Aruanã;2018;4,79333333333333;5,63;3,38;3,09;6,62;5,31;3;7,4;5,2;3,51
Aurilândia;2012;6,24833333333333;;;;8,53;7,79;6,03;4,5;3,8;6,84
Aurilândia;2014;4,625;;;;4,32;3,1;4,54;4,9;4,3;6,59
Aurilândia;2016;6,015;8;2,06;3,29;8,51;8,19;5,27;6,5;;6,3
Aurilândia;2018;6,36111111111111;7,5;5,52;1,44;8,29;9,67;6,97;6,4;5,5;5,96
Avelinópolis;2012;6,42666666666667;;;;8,69;8,22;7,31;4,5;3;6,84
Avelinópolis;2014;7,18333333333333;;;;9,03;10;6,51;5;3,7;8,86
Avelinópolis;2016;6,01888888888889;2,5;2,61;1,43;9,41;10;8,65;5,3;5,5;8,77
Avelinópolis;2018;5,53;5,71;1,92;1,23;10;10;2,55;6,8;5,6;5,96
Baliza;2012;3,60666666666667;;;;3,77;8,8;4,69;0;3,5;0,88
Baliza;2014;1,715;;;;1,68;1,37;0,48;;;3,33
Baliza;2016;1,72714285714286;0;1,44;1,33;1,92;2,36;1,62;;;3,42
Baliza;2018;3,64142857142857;5;2,39;2,48;5,52;4,23;2,6;;;3,27
Barro Alto;2012;5,77666666666667;;;;7,9;9,17;5,61;4,7;3,9;3,38
Barro Alto;2014;5,53333333333333;;;;6,44;7,33;7,61;5,4;4,3;2,12
Barro Alto;2016;5,26555555555555;3,4;4,76;2,4;6,92;10;6,29;5,9;4,9;2,82
Barro Alto;2018;5,57;2,86;4,5;1,36;9,12;8,3;10;6,4;5,3;2,29
