Localidade;Ano;IDM Segurança;Crimes contra a dignidade sexual;Crimes contra a pessoa;Crimes contra o patrimonio;Contravenções penais;Tráfico de drogas
Nova Crixás;2012;9,45;9,48;9,04;9,37;9,36;10
Nova Crixás;2014;8,612;10;8,5;8,6;9,77;6,19
Nova Crixás;2016;7,098;3,48;7,81;8,56;9,78;5,86
Nova Crixás;2018;6,714;6,56;5,44;7,56;5,17;8,84
Nova Glória;2012;8,554;9,28;8,12;7,89;8,74;8,74
Nova Glória;2014;8,024;7,93;6,08;7,21;8,9;10
Nova Glória;2016;8,55;10;7,69;8,24;7,43;9,39
Nova Glória;2018;6,704;6,57;6,03;7,83;4,14;8,95
Nova Iguaçu de Goiás;2012;9,052;10;7,78;8,38;9,1;10
Nova Iguaçu de Goiás;2014;7,936;6,92;6,34;6,42;10;10
Nova Iguaçu de Goiás;2016;9,294;10;8,67;8,74;9,06;10
Nova Iguaçu de Goiás;2018;9,042;8,35;8,86;8,33;9,67;10
Nova Roma;2012;8,592;4,69;9,47;9,39;9,41;10
Nova Roma;2014;8,034;2,36;8,32;9,49;10;10
Nova Roma;2016;9,534;10;8,27;9,4;10;10
Nova Roma;2018;8,444;7,16;8,81;9,67;6,58;10
Nova Veneza;2012;7,954;8,49;8,07;8,33;8,18;6,7
Nova Veneza;2014;7,988;8,96;7,34;7,16;9,61;6,87
Nova Veneza;2016;7,954;6,97;7,57;8,17;8,79;8,27
Nova Veneza;2018;8,092;9,48;8,06;7,99;8,11;6,82
Novo Brasil;2012;9,404;10;8,51;9,23;9,28;10
Novo Brasil;2014;8,466;7,44;7,97;9,32;9,52;8,08
Novo Brasil;2016;9,102;10;8,63;8,85;9,59;8,44
Novo Brasil;2018;8,45;8,5;7,03;8,83;8,8;9,09
Novo Gama;2012;7,21;7,15;7,38;5,79;8,1;7,63
Novo Gama;2014;6,768;5,64;7,31;5,32;9,65;5,92
Novo Gama;2016;6,888;6,21;6,09;6,07;8,68;7,39
Novo Gama;2018;7,656;7,95;7,61;5,79;8,48;8,45
Novo Planalto;2012;9,822;10;9,8;9,82;9,49;10
Novo Planalto;2014;9,19;7,83;9,05;9,21;9,86;10
Novo Planalto;2016;8,34;5,73;7,93;9,32;8,72;10
Novo Planalto;2018;7,102;5,53;7,68;8,38;5,96;7,96
Orizona;2012;8,1;8,28;7,82;6,15;9;9,25
Orizona;2014;8,416;9,4;7,98;6,89;9,62;8,19
Orizona;2016;7,548;8,2;6,58;8,06;7,65;7,25
Orizona;2018;7,5;6,84;7,82;7,37;7,01;8,46
Ouro Verde de Goiás;2012;8,738;10;7,86;8,55;8,61;8,67
Ouro Verde de Goiás;2014;8,202;5,61;7,97;8,25;9,18;10
Ouro Verde de Goiás;2016;8,438;7,72;7,88;7,96;8,63;10
Ouro Verde de Goiás;2018;7,606;10;5,56;7,41;6,55;8,51
Ouvidor;2012;6,012;2,13;7,18;8,31;6,37;6,07
Ouvidor;2014;8,262;10;7,14;7,07;9,42;7,68
Ouvidor;2016;6,966;10;4,9;7,5;8,42;4,01
Ouvidor;2018;6,922;7,68;8,16;7,4;8,44;2,93
Padre Bernardo;2012;7,87;6,67;7,64;7,11;8,9;9,03
